Name,ApplyLink,Eligibility,Stream,Mode,Amount,Address,Status
Aditya Birla Capital Scholarship,https://www.adityabirlascholars.net/the-scholarship/,Merit students,"School, Diploma, UG",online,"₹18,000 – ₹60,000/year",,Available
ONGC Scholarship Scheme,https://ongcscholar.org/#/,Engineering and MBBS students,"BE/BTech, MBBS, MBA, PG",online,"₹48,000/year",,Available
L and T Build India Scholarship,https://www.buddy4study.com/scholarship/l-t-build-india-scholarship,Final year engineering students,"BE/BTech (Civil, Electrical)",online,"₹8,00,000 (full sponsorship)",,Available
Mahindra All India Talent Scholarship,https://www.kcmet.org/what-we-do-scholarship-grants.aspx,Diploma students,Diploma (Engineering),online,"₹10,000/year",,Available
Tata Capital Pankh Scholarship,https://www.buddy4study.com/page/the-tata-capital-pankh-scholarship-programme,Students from low income families,"School, Diploma, UG",online,"₹10,000 – ₹12,000/year",,Available
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
AICTE Doctoral Fellowship,https://fellowship.aicte.gov.in/,PhD students are eligible.,PhD,online,"₹15,000/month + grant",,Available
AICTE Yashasvi Scholarship,https://yashasvi.aicte.gov.in/login.php?r=session_invalid,Technical students are eligible.,Diploma,online,"₹50,000/year",,Available
Central Sector Scheme,https://www.education.gov.in/en/scholarships-education-loan-0,Students of 12th (Female & Male) with 80% or above and family income less than 6L are eligible.,All,online, ₹10000 to ₹20000 per year for 3 to 5 years,,Available
Loreal India,buddy4study.com,Female students of 12th with 85% or above and family income less than 4L are eligible.,Science & Tech,Online,"₹2,50,000 to cover tuition fees",,Available
Inspire Scholarship (She),https://online-inspire.gov.in/,Students of 12th (Female & Male) who are in the Top 1% are eligible.,Basic Sciences,Online,₹80000 pa,,Available
Indian Oil Academic,https://iocl.com/pages/indianoil-academic-scholarships-overview,Students of 10+ (Female & Male) with 65% or above and family income less than 1.5L are eligible.,"ITI, Engg, MBBS, MBA",Online,₹1000 & 3000 per month,,Available
AICTE Pragati,https://www.aicte.gov.in/schemes/students-development-schemes/Pragati/General-Instructions,Female students of 10+ with 60% or above and family income less than 6L are eligible.,Technical Courses,Online/Offline,₹50000 pa,,Available
Merit Cum Means Minority,https://www.minorityaffairs.gov.in/show_content.php?lang=1&level=1&ls_id=775&lid=827,Students of 12th (Female & Male) with 50% or above and family income less than 2.5L are eligible.,Professional/Tech,Online,"₹25,000 to ₹30,000 per year",,Available
FAEA Scholarship,https://www.faeaindia.org/,Students of 12th (Female & Male) with 50% or above and family income less than 1L are eligible.,All,Online,"Tuition fee, maintenance allowance or hostel/mess charges as per their norms",,Available
R D Sethna Loan,https://www.rdsethnascholarships.org/,Students of 12th (Female & Male) with 50% or above are eligible (No Income Limit).,All,Post/In-person,"Loan Scholarship of Rs 10,000",,Available
Post Matric Minority,https://www.minorityaffairs.gov.in/show_content.php?lang=1&level=2&ls_id=163&lid=165,Students of 10+ (Female & Male) with 50% or above and family income less than 2L are eligible.,All,Online,"Rs. 9,300 to Rs 13,800 per year",,Available
Maulana Azad (Girls),https://azadgirls.com/,Female students of 10th with 55% or above and family income less than 1L are eligible.,All,Online,"Rs 12,000",,Available
Tgelf Khemka Domestic,https://www.tgelf.org/,Students of 12th (Female & Male) with 50% or above are eligible (No Income Limit).,UG Courses,Online,0,,Available
NSF Scholarship,https://www.northsouth.org/india-impact/india-scholarships/,Students of 10+ (Female & Male) with 90% or above and family income less than 1L are eligible.,Professional (Govt),Online/Post,"Rs 8,000 to Rs 25,000 per annum",,Available
Nirmaan Scholarship,https://nirmaan.org/holistic-education/scholarship-and-mentorship-program,Students of 12th (Female & Male) with 80% or above are eligible (No Income Limit).,Professional (Govt),Online/Email,Financial & Mentorship assistance till Graduation,,Available
Hamdard National,https://www.hamdardfoundation.in/,Students of 12th (Female & Male) with 60−70% and family income less than 2L are eligible.,Professional/Tech,Post/In-person,na,,Available
Nishkam Sikh Welfare,https://www.nishkam.org/,Students of 12th (Female & Male) with 60% or above and family income less than 1.5L are eligible.,Professional,Post,"Up to Rs 30,000 p.a ",,Available
CBSE Single Girl Child,https://www.cbse.gov.in/cbsenew/scholar.html,Female students of 10th with 60% or above are eligible (No Income Limit).,Class 11th,Online,Rs. 500 per month,,Available
Udaan (CBSE),https://www.cbse.gov.in/cbsenew/scholar.html,Female students of 10th with 70% or above and family income less than 6L are eligible.,Class 11th PCM,Online,Providing free online resources to girl students,,Available
Nirankari Rajmata,https://www.nirankari.org/legacy/nirankari-rajmata-kulwant-kaur-ji/,Students of 12th (Female & Male) with 95% or above and family income less than 3.5L are eligible.,Professional/Tech,Post,Tuition fee for a year or complete course of Graduation or Post Graduation,,Available
M Sethia Merit,https://jmstrust.com/enrolment/,Students of 8th (Female & Male) with 75% or above and family income less than 1.4L are eligible.,School,-,Not specified,,Available
Popular Front Loan,https://unstop.com/scholarships/popular-front-of-india-loan-scholarship-2017-popular-front-of-india-22359,Students of 12th (Female & Male) with 50% or above are eligible (No Income Limit).,Journalism/Law/Social,Online/Email/Post,LoanScholarships,,Available
Foundation For Excellence,https://ffe.org/,Students of 12th (Female & Male) with 70% or above and family income less than 1.8L are eligible.,1st yr Engg/MBBS,Online/Post,Scholarship,,Available
Santoor Women's,https://www.santoorscholarships.com/,Female students of 12th with 50% or above are eligible (No Income Limit).,All,Post,Rs 24000-36000 per annum,,Available
Tata Housing Meritorious,https://www.buddy4study.com/scholarship/tata-housing-scholarships-for-meritorious-girl-students-2018,Female Engineering students of 1st Year with 50% or above and family income less than 3L are eligible.,Professional/Tech,Post,"Rs. 60,000 pa",,Available
Fair And Lovely,https://www.buddy4study.com/article/empowering-lives-through-fair-lovely-scholarship-program,Female students of 12th with 60% or above and family income less than 6L are eligible.,All,Online,Rs. 25000 to 50000 per student,,Available
Prabha Dutt Fellowship,not secured,Female Journalists are eligible (No percentage or income limit required).,Print Journalism,Online/Offline,"Rs 1,00,000 (Grant)",,Available
Swami Vivekananda SGC,https://www.myscheme.gov.in/schemes/svsgcfrss,Female PhD students are eligible (No percentage or income limit required).,PhD Social Science,Online,"Rs 12,400 p.m to Rs 15,500 p.m",,Available
Maulana Azad Fellowship,https://www.minorityaffairs.gov.in/show_content.php?lang=1&level=1&ls_id=625&lid=107,PhD students (Female & Male) with 50% or above are eligible (No income limit).,PhD for Minority,Online,Rs 25000 to 28000 Monthly,,Available
Babulal Nagarmal,https://www.theglobalscholarship.org/scholarships/babulal-nagarmal-satnalika?source=main,Students of 12th (Female & Male) with 50% or above and family income less than 80K are eligible.,All,Online/Offline,School Fees,,Available
National Scholarship Exam,https://www.niceedu.org/nse,Students from 5th to 12th (Female & Male) with 80% or above are eligible (No income limit).,Scholarship Exam,Online,"1st prize-10000 
second prize-2000
Consolation prize for 4 to 100 ranks",,Available
Sitaram Jindal,https://www.sitaramjindalfoundation.org/scholarships-for-students-in-bangalore.php,Students of 10+ (Female & Male) with 80% or above and family income between 2.5L and 4L are eligible.,All,Offline,depending upon on course,,Available
ONGC Ltd,https://www.ongcindia.com/,Students of 12th (Female & Male) with 60% or above and family income less than 2L are eligible.,Professional,Online,Rs 48000/-,,Available
Sima Khatib Scholarship,https://www.theglobalscholarship.org/scholarships/sima-khatib-scholarship,Medical students of 10+ (Female & Male) with 90% or above and family income less than 3L are eligible.,Professional,Online,Rs 10000/-(Excess Loan to be provided free of interest),,Available
LIC Golden Jubilee,https://licindia.in/golden-jubilee-foundation,Students of 12th (Female & Male) with 60% or above and family income less than 1L are eligible.,Professional/Tech,Online,"Rs 1,000 p.m. for 10 months",,Available
Pre Matric Scholarships,https://prematric.mahait.org/Login/Login,Students from 1st to 10th (Female & Male) with 50% or above and family income less than 1L are eligible.,School Students,Online,Rs. 1000/- 1st to 5th Rs.5000/- 6th to 10th,,Available
State Govt Scholarship,https://fs.maharashtra.gov.in/,Students of 10+ (Female & Male) with 50% or above and family income less than 6L are eligible.,Professional/Tech,Online,Rs. 25000/- per year,,Available
DMRE State Govt,https://dmer.maharashtra.gov.in/english/,Students of 12th (Female & Male) with 50% or above and family income less than 6L are eligible.,Medical,Online,Rs. 25000/- per year,,Available
IDB Loan Scholarship,https://www.iadb.org/en/project/PR-L1086,Students of 12th (Female & Male) with 70% or above are eligible (No income limit).,Professional/Tech,Online/Offline,As per requirment,,Available
Google Science Fair,https://www.competitionsciences.org/competitions/google-science-fair/,Students between ages 13-18 (Female & Male) are eligible (No percentage or income limit required).,Science Competition,Online,33Lakhs,,Available
Jamiat Ulama-I-Hind,https://www.jamiat.org.in/,Students of 12th (Female & Male) with 50% or above are eligible.,Professional/Tech,online,0,,Available
Marubeni India,https://www.marubeni.co.in/,Students of 12th (Female & Male) with 75% or above and family income less than 2L are eligible.,Professional/Tech,Online,Rs. 40000/-,,Available
Savla Scholarship,https://financialaid.somaiya.edu/en/benevolent-status-scholarship/,Students of 10th (Female & Male) with 75% or above are eligible (No income limit).,11th to UG,Online,Rs. 10000/-,,Available
Merck India Charitable,https://www.merckgroup.com/in-en/company/corporate-social-responsibility/education/mict.html,Students of 10th (Female & Male) with 80% or above and family income less than 2.4L are eligible.,Class 11,Offline,Rs.35000/-,,Available
Calsoft Scholarship,calsoftinc.com,Students of 12th (Female & Male) with 50% or above and family income less than 1.5L are eligible.,Engineering,Online,Part of Fees,,Available
Indiabulls Foundation,https://www.indiabullsfoundation.com/,Students of 12th (Female & Male) are eligible regardless of percentage or income.,All,-,600 Students,,Available
Rangoonwala Trust,https://rangoonwala.org/,Students (Female & Male) with 70% or above are eligible regardless of educational level.,BSW / MSW,Offline,,,Available
Maulana Azad Ed Loan,https://maaavm.dataman.in/,Students of 12th (Female & Male) with family income less than 2.5L are eligible.,Professional,Online/Offline,"Rs. 5000/- to Rs.2,50,000/-",,Available
State Minority (DHE),https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51A78F1DC35C6E48797,Students of 12th (Female & Male) with 50% or above and family income less than 6L are eligible.,UG & PG,Offline,Rs.5000/-,,Available
Lodha Foundation,https://www.lodhagroup.com/blogs/sustainability/top-stem-scholarships-in-india-for-future-leaders,Students of 5th (Female & Male) with 70% or above and family income less than 4.5L are eligible.,All,Offline,70% of total Fees,,Available
KC Mahindra,https://www.kcmet.org/index.aspx,Students of 10th or 12th (Female & Male) are eligible.,Engineering,Offline,,,Available
Siemens Scholarship,https://www.ssp-india.co.in/login,Students of 10th (Female & Male) with 50% or above and family income less than 2L are eligible.,Engineering,-,,,Available
TFWS,https://cetking.com/tfws/,Students of 12th (Female & Male) with family income less than 5L are eligible.,Engineering,Online,Tution Fees,,Available
Khidmat Trust Mumbai,https://khidmattrust.org/,Students (Female & Male) who have passed their exams and come from low-income families are eligible.,All,Offline,Tution Fees,,Available
Haji Ali Trust Mumbai,https://www.hajialidargah.in/,Students (Female & Male) who have passed their exams are eligible.,All,Offline,Tution Fees,,Available
Kind Circle Meritorious,https://www.buddy4study.com/page/kind-circle-scholarship-for-meritorious-students,Students of 8th+ (Female & Male) with 50% or above and family income less than 4L are eligible.,9th & Graduation,Online,120000,,Available
Care Rating PG,https://www.careratings.com/,Graduation students (Female & Male) with 50% or above and family income less than 5L are eligible.,MBA Banking/Ins,Online,50000/-,,Available
Ryan Merit Cum Means,https://www.minorityaffairs.gov.in/show_content.php?lang=1&level=1&ls_id=775&lid=827,Students of 7th (Female & Male) with 80% or above and family income less than 2L are eligible.,8th to 12th,Online,10000/-,,Available
Nurture Merit Cum Means,https://www.indiascienceandtechnology.gov.in/nurturing-minds/scholarships/graduation/merit-cum-means-scholarship-scheme,Students of 12th (Female & Male) with 75% or above and family income less than 2L are eligible.,Graduation,Online,20000/-,,Available
Faer McAfee Program,https://www.faer.ac.in/2324-faer-scholar-awards,Students (Female & Male) are eligible.,Engineering,Online,Cash Prizes upto 100000,,Available
KVPY Fellowship,https://www.indiascienceandtechnology.gov.in/nurturing-minds/scholarships/school/kishore-vaigyanik-protsahan-yojana-kvpy,Students from 10th to PG (Female & Male) are eligible (No income limit).,Basic Sciences,Online,Varying,,Available
Tata Trust Means Grant,https://www.tatatrusts.org/our-work/individual-grants-programme/education-grants,Students from 8th to Graduation (Female & Male) who have passed their exams are eligible.,All UG (excl Engg),Online,Needs Based,,Available
Lila Poonawala,https://www.lilapoonawallafoundation.com/,Female students of 12th/Diploma with family income less than 3.5L are eligible.,Engg/Nursing/Phar,Online,"60,000 per annum",,Available
Veena Upendra,https://apply.ydfindia.org/,Students of 12th (Female & Male) with 70% or above and family income less than 1.5L are eligible.,All Streams,Online,Not specified,,Available
Pernod Ricard (PRIF),https://www.prifoundation.com/,Students from 9th to PG (Female & Male) with 60-75% and family income less than 2.5L are eligible.,All Streams,Online,Tution Fees,,Available
AWSAR (DST),https://dst.gov.in/callforproposals/call-entries-awsar-programme,PhD students (Female & Male) are eligible (No income limit).,Science & Technology & Innovation,Online,Upto 1 lakh,,Soon
Urdu Scholarship,https://www.upurduakademi.in/scholarships.aspx#!,Students from 6th to PhD (Female & Male) with 50% or above are eligible.,Urdu,Online,Not specified,,Available
Sahitya Kala Parishad,https://sahityakalaparishad.delhi.gov.in/,Disabled students (Female & Male) are eligible.,"Arts, Drama, Music",Online,Not specified,,Available
Saksham Scholarship,https://www.aicte.gov.in/schemes/students-development-schemes/Saksham/General-Instructions,students (Female & Male) are eligible.,Tech (AICTE),Online,"50,000",,Soon
Nargis Dutt Foundation,info@gisduttfoundation.com,Female students of 10th/12th are eligible.,Vocational,Mail,Full Fees,,Available
Sultan Jahan,sultanjahan_coaching@yahoo.co.in,Students (Female & Male) are eligible.,-,Offline,Not specified,,Available
Hakeem Abdul Hameed,https://www.hamdardfoundation.in/news/download-scholarship-application-for-2024-25,Students of 12th (Female & Male) with 50% or above are eligible.,All Streams,Online,Not specified,,Soon
Nirankari Rajmata Scholarship Scheme,https://drive.google.com/drive/folders/14tz6L2Zy1kBvffZg2HEGyexaev5Y6EE-,Students with 90% or above (Preference given to Females) and family income less than 3.5L are eligible.,"Medical, Engg, MBA,Architecture,Law",Offline,Tution Fees,,Available
BSA Crescent Zakaat,https://www.bsacrescentalumni.com/zakat,Students of 12th (Female & Male) with 60% or above are eligible.,All Streams,Online,Not specified,,Available
PG University Rank,https://www.myscheme.gov.in/schemes/pgmssurhula,Undergraduate (UG) students who secured 1st or 2nd Rank are eligible (No income limit).,Science/Languages,Online,"31,000",,Soon
PG Indira Gandhi SGC,https://www.myscheme.gov.in/schemes/pg-igssgc,Female Undergraduate (UG) students are eligible (No income limit).,All Streams,Online,"36,200",,Available
Pragati for Girls,https://dte.maharashtra.gov.in/pragati-scholarship-scheme/,Female students of 12th with family income less than 8L are eligible.,Tech Degree/Dip,Online,"50,000",,Available
SKF Scholarship,https://forstu.co/sdetails/25,Female students of 10th with 75% or above and family income less than 1.5L are eligible.,Junior College,Online,"80,000",,Available
Dr. Reddy’s Sashakt,https://sashaktscholarship.org/how-to-apply/#who-can-apply,Female students of 12th with good academics and family income less than 5L are eligible.,Pure/Natural Sci,Online,Upto 2.4 Lakhs,,Available
Adobe Women in Tech,research.adobe.com,Female Third Year (TY) students are eligible (No income limit).,Engineering,Online,Tution Fees and Internship,,Available
Vidyadhan (SDF),https://www.vidyadhan.org/apply,Students of 10th (Female & Male) with 80-90% and family income less than 2L are eligible.,Junior College,Online,Not specified,,Available
Vishwa Konkani,konkanischolarship.com,Students of 12th (Female & Male) with 70% or above and family income less than 5L are eligible.,Engg/Medical,Online,Not specified,,
5th M-Scholar,csr@magma.co.in,Students of 12th (Female & Male) with 50% or above and family income less than 1.2L are eligible.,All Streams,Online,Not specified,,
Chevening Scholarship,https://studyabroad.aeccglobal.com/india/destination/scholarshipsinuk?utm_source=Google&utm_details=Google_PPC&utm_campaign=22554451327&utm_term=chevening%20scholarship&gad_source=1&gad_campaignid=22554451327&gbraid=0AAAAApWSJtROyCt0pcbMy5yoJanyt-vDg&gclid=Cj0KCQjwyr3OBhD0ARIsALlo-OlRuRfaEvKIoJKPDYHKMVEjuymNWkHnKuUc4pSitpLgX1a9SvtT3NgaAhViEALw_wcB,Undergraduate (UG) students (Female & Male) with work experience are eligible (No income limit).,PG in any Stream,Online,Fully Funded,,
Narotam Sekhsaria,https://pg.nsfoundation.co.in/,First Year Engineering (FY Engg) students (Female & Male) are eligible (No income limit).,Engineering,Online,Not specified,,
School Scholarship (Delhi),https://vidyachetana.org/login,Students (Female & Male) with 50% or above and family income less than 2L are eligible.,All Classes,Online,Not specified,,
Lady Tata Memorial,https://ladytatatrust.tatatrusts.org/StaticPageIndia/Awards/5,MBBS/MSc students (Female & Male) are eligible (No income limit).,PhD,Online,Not specified,,
ONGC Foundation,https://www.ongcfoundation.org/scholarship-scheme/,Students of 12th (Female & Male) are eligible (No income limit).,Engg/Med/MBA/Geol,Online,Not specified,,
KC Mahindra Abroad,https://www.kcmet.org/what-we-do-scholarship-grants.aspx,Undergraduate (UG) students (Female & Male) are eligible (No income limit).,PG Abroad,Online,Not specified,,
Vahani Scholarship,https://www.vahanischolarship.com/,Students of 12th (Female & Male) with 85% or above and family income less than 1.5L are eligible.,All Streams,Online,Tution Fee,,
Nestle MBA (Women),https://www.imd.org/degree/mba/scholarships/nestle-scholarship-for-women/,Female Undergraduate (UG) students are eligible (No income limit).,MBA,Online,Not specified,,
Yashad-Sumedha,https://www.sumedha.org/index.php,Students of 12th (Female & Male) with 75% or above and family income less than 2.5L are eligible.,B.Tech,Online,"20,000",,
Dakshana Foundation,https://www.dakshana.org/,Postgraduate (PG) students (Female & Male) are eligible (No income limit).,JEE/NEET Prep,Online,Not specified,,
Raman Kant Munjal,https://rkmfoundation.org/Scholarships.aspx,Students of 12th (Female & Male) with family income less than 4L are eligible.,BBA/BBM/BCom,Online,Upto 4 Lakhs,,
J.N. Tata Endowment,https://jntataendowment.org/,Postgraduate (PG) students (Female & Male) are eligible (No income limit).,PhD,Online,Up to 10 Lakhs,,
Kotak Kanya,https://www.kotakeducationfoundation.org/kotak-kanya-scholarship,Female Professionals with family income less than 3L are eligible.,"Engg, Med, Law, CA",Online,Not specified,,
COVID Crisis Support,https://csamumbai.in/covid-19-resources/,Students affected by COVID (Female & Male) are eligible.,All,Online,Not specified,,
Legrand Scholarship,https://legrandscholarship.co.in/,Female students of 12th with 75% or above and family income less than 5L are eligible.,B.E/B.Tech/B.Arch,Online,Not specified,,
vivo for Education,buddy4study.com,Students of 10th & 12th (Female & Male) with 80% or above and family income less than 4L are eligible.,All,Online,Not specified,,
Vinati Organics,buddy4study.com,Female students of 10th/11th with 65% or above and family income less than 3.6L are eligible.,All,Online,Not specified,,
JSW UDAAN,vidyasaarathi.co.in,Students from Class 1 to PG (Female & Male) with family income less than 8L are eligible.,All,Online,Not specified,,
Schindler SIM,vidyasaarathi.co.in,Diploma students (Female & Male) with family income less than 3L are eligible.,Diploma,Online,Not specified,,
tulsianitrus,https://tulsianitrust.com/how-can-we-help-you/,This opportunity is open for all students.,,online,Not specified,,
Avasar foundation,https://www.avasarfoundation.in/scholarship,This opportunity is only for female students.,,online,,,
	Shiksha Sankalp Lakshya Scholarship,https://resolve4education.org/,"Passed Class 12 with a minimum of 85% marks.
Currently enrolled in the first year of a full-time undergraduate Engineering/MBBS program at NAAC/NIRF accredited Government, State, Central, or Public University in India.","Engineering,MBBS",online,"	Up to Rs. 1,00,000 p.a.",,
Keep India Smiling Foundation Scholarship (Colgate),https://www.colgate.com/en-in/smile-karo-aur-shuru-ho-jao/foundation-scholarship,"Must have scored a minimum of 60% in Class 12 board exams
",B.E./B.Tech/BDS/MBBS/Others,online,"Up to Rs 50,000 p.a.",,
,,,,,,,
,,,,,,,
SBI Platinum Jubilee Asha Scholarship,https://www.sbiashascholarship.co.in/,"School students (Class 6–12), UG, PG, IIT/IIM students with family income < ₹6 lakh",All Streams,bank,"₹15,000 – ₹4,50,000",,
Kotak Kanya Scholarship,https://www.buddy4study.com/page/kotak-kanya-scholarship,"Girl students, Class 12 passed, family income < ₹6 lakh",Engineering / Professional (Girls),bank,"Up to ₹1,50,000/year",,
Axis Bank Young India Scholarship,https://www.axisbankfoundation.org,"Students from low-income families, skill development programs",All Streams,bank,Varies (Skill-based support),,
ICICI Foundation Scholarship,https://www.icicifoundation.org,"Economically weaker students, vocational training applicants",ITI / Diploma / Technical,bank,Free training + stipend,,
Baroda Scholar,https://www.bankofbaroda.in/career/education-loan,Students applying for higher education (India/abroad),All Streams,bank,Loan + partial aid,,
PNB Housing Finance Scholarship,https://www.buddy4study.com/page/pnb-housing-finance-protsahan-scholarship,"School students (Class 9–12), family income < ₹6 lakh",All Streams,bank,"₹10,000 – ₹75,000",,
Union Bank Education Support Schemes,https://www.unionbankofindia.co.in,"Financially weak students, higher education applicants",All Streams,bank,Varies (fee support),,
Standard Chartered Foundation Scholarship,https://www.sc.com/in,"Underprivileged students, NGO-supported programs",All Streams,bank,Varies,,
Canara Bank Scholarship Schemes,https://www.canarabank.com,Government-linked scholarship beneficiaries,All Streams,bank,Varies,,
HSBC India Scholarship Programme,https://www.hsbc.co.in,Meritorious students with financial need,All Streams,bank,"Up to ₹2,00,000",,
Citi Foundation Scholarship (Citibank initiatives),https://www.citigroup.com,Students via NGO/partner programs,Engineering / Business / Professional,bank,Varies,,
IndusInd Bank Educate For Life Scholarship,https://www.buddy4study.com,"Class 10–UG, All Gender, Income ≤ ₹6L",All Streams,bank,"₹10,000 – ₹72,000",,
Central Bank of India Welfare Schemes,https://www.centralbankofindia.co.in,"Class 10–PG, All Gender, Income varies",All Streams,bank,"₹10,000 – ₹50,000",,
